Á,Aacute
⊁,nsucc
⪰̸,nsucceq
⊅,nsup
⫆̸,nsupE
⊉,nsupe
⊃⃒,nsupset
⊉,nsupseteq
⫆̸,nsupseteqq
≹,ntgl
Ñ,Ntilde
ñ,ntilde
≸,ntlg
⋪,ntriangleleft
⋬,ntrianglelefteq
⋫,ntriangleright
⋭,ntrianglerighteq
Ν,Nu
ν,nu
#,num
№,numero
 ,numsp
≍⃒,nvap
⊯,nVDash
⊮,nVdash
⊭,nvDash
⊬,nvdash
≥⃒,nvge
>⃒,nvgt
⤄,nvHarr
⧞,nvinfin
⤂,nvlArr
≤⃒,nvle
<⃒,nvlt
⊴⃒,nvltrie
⤃,nvrArr
⊵⃒,nvrtrie
∼⃒,nvsim
⤣,nwarhk
⇖,nwArr
↖,nwarr
↖,nwarrow
⤧,nwnear
Ó,Oacute
ó,oacute
⊛,oast
⊚,ocir
Ô,Ocirc
ô,ocirc
О,Ocy
о,ocy
⊝,odash
Ő,Odblac
ő,odblac
⨸,odiv
⊙,odot
⦼,odsold
Œ,OElig
œ,oelig
⦿,ofcir
𝔒,Ofr
𝔬,ofr
˛,ogon
Ò,Ograve
ò,ograve
⧁,ogt
⦵,ohbar
Ω,ohm
∮,oint
↺,olarr
⦾,olcir
⦻,olcross
‾,oline
⧀,olt
Ō,Omacr
ō,omacr
Ω,Omega
ω,omega
Ο,Omicron
ο,omicron
⦶,omid
⊖,ominus
𝕆,Oopf
𝕠,oopf
⦷,opar
“,OpenCurlyDoubleQuote
‘,OpenCurlyQuote
⦹,operp
⊕,oplus
⩔,Or
∨,or
↻,orarr
⩝,ord
ℴ,order
ℴ,orderof
ª,ordf
º,ordm
⊶,origof
⩖,oror
⩗,orslope
⩛,orv
Ⓢ,oS
𝒪,Oscr
ℴ,oscr
Ø,Oslash
ø,oslash
⊘,osol
Õ,Otilde
õ,otilde
⨷,Otimes
⊗,otimes
⨶,otimesas
Ö,Ouml
ö,ouml
⌽,ovbar
‾,OverBar
⏞,OverBrace
⎴,OverBracket
⏜,OverParenthesis
∥,par
¶,para
∥,parallel
⫳,parsim
⫽,parsl
∂,part
∂,PartialD
П,Pcy
п,pcy
%,percnt
.,period
‰,permil
⊥,perp
‱,pertenk
𝔓,Pfr
𝔭,pfr
Φ,Phi
φ,phi
ϕ,phiv
ℳ,phmmat
☎,phone
Π,Pi
π,pi
⋔,pitchfork
ϖ,piv
ℏ,planck
ℎ,planckh
ℏ,plankv
+,plus
⨣,plusacir
⊞,plusb
⨢,pluscir
∔,plusdo
⨥,plusdu
⩲,pluse
±,PlusMinus
±,plusmn
⨦,plussim
⨧,plustwo
±,pm
ℌ,Poincareplane
⨕,pointint
ℙ,Popf
𝕡,popf
£,pound
⪻,Pr
≺,pr
⪷,prap
≼,prcue
⪳,prE
⪯,pre
≺,prec
⪷,precapprox
≼,preccurlyeq
≺,Precedes
⪯,PrecedesEqual
≼,PrecedesSlantEqual
≾,PrecedesTilde
⪯,preceq
⪹,precnapprox
⪵,precneqq
⋨,precnsim
